Object,n_Object,l_FH8,FH8,e_FH8,EWH8,e_EWH8,l_FH9,FH9,e_FH9,EWH9,e_EWH9,l_FH10,FH10,e_FH10,EWH10,e_EWH10,l_FH11,FH11,e_FH11,EWH11,e_EWH11
Sz65,,,1.27e-14,3.8e-15,-0.181,0.093,,1.12e-14,4.1e-15,-0.214,0.107,,7.03e-15,4.37e-15,-0.112,0.056,,,,,
AKC2006-18,,,2.62e-16,3.3e-17,-4.695,2.350,,1.32e-16,5.2e-17,-2.230,1.115,,7e-17,1.93e-17,-0.954,0.477,,6.11e-17,2.01e-17,-1.000,0.500
SSTc2dJ154508.9-341734,,<,2.54e-14,,,,<,3.32e-14,,,,,,,,,,,,,
Sz68,,,,,,,,1.49e-13,1.07e-13,-0.136,0.068,,1.25e-13,6.9e-14,-0.088,0.044,,,,,
SSTc2dJ154518.5-342125,,,7.41e-16,8.4e-17,-5.489,2.630,,4.08e-16,4.8e-17,-2.331,1.166,,3.64e-16,5.1e-17,-2.000,1.050,,3.22e-16,7.5e-17,-2.477,0.200
Sz81A (SW),,,5.06e-15,7.8e-16,-1.413,0.707,,3.93e-15,6.9e-16,-1.209,0.605,,2.76e-15,4.4e-16,-0.760,0.406,,2.36e-15,5.3e-16,-0.676,0.338
Sz81B (NE),,,2.21e-15,3.5e-16,-1.973,0.987,,1.47e-15,3.8e-16,-1.000,0.500,,1.16e-15,3.4e-16,-1.009,0.504,,1.08e-15,2.3e-16,-0.857,0.492
Sz129,,,2.75e-13,1.6e-14,-1.638,0.177,,2.01e-13,9e-15,-1.245,0.126,,1.58e-13,1.3e-14,-0.911,0.126,,1.24e-13,1.2e-14,-0.754,0.118
SSTc2dJ155925.2-423507,,,2.39e-16,4.8e-17,-1.320,0.660,,2.19e-16,8.5e-17,-1.319,0.660,,1.24e-16,5.4e-17,-0.623,0.370,,1.76e-16,9.6e-17,-1.571,0.400
RY Lup,,,,,,,,,,,,,,,,,,,,,
SSTc2dJ160000.6-422158,,,2.62e-15,3.2e-16,-1.409,0.562,,2.66e-15,5.3e-16,-1.873,0.990,,1.66e-15,3.2e-16,-0.912,0.496,,1.63e-15,3.6e-16,-1.079,0.540
SSTc2dJ160002.4-422216,,,1.21e-14,1.9e-15,-2.904,1.580,,1.17e-14,2.7e-15,-2.814,1.200,,1.02e-14,2.7e-15,-2.359,1.179,,6.29e-15,1.85e-15,-0.526,0.250
SSTc2dJ160026.1-415356,,,3.56e-15,7.2e-16,-4.717,0.720,,2.24e-15,4.1e-16,-1.220,0.280,,1.61e-15,3.4e-16,-0.989,0.440,,1.49e-15,5.5e-16,-1.130,0.410
MY Lup,,,,,,,,,,,,,,,,,,,,,
Sz131,,,2.01e-14,5.2e-15,-2.351,1.176,,1.47e-14,3.2e-15,-1.553,0.817,,1.12e-14,2.8e-15,-1.137,0.606,,8.24e-15,2.21e-15,-0.714,0.357
Sz133,,,2.69e-14,6.6e-15,-1.205,0.671,,1.87e-14,3.4e-15,-0.924,0.321,,1.73e-14,4.8e-15,-0.817,0.458,,1.84e-14,3.3e-15,-0.842,0.291
SSTc2dJ160703.9-391112,,,3.22e-17,1.06e-17,-0.755,0.358,<,9.82e-17,,,,<,8.77e-17,,,,<,5.25e-17,,,
SSTc2dJ160708.6-391408,,,9.45e-15,1.63e-15,-1.711,0.202,,4.71e-15,1.5e-15,-0.767,0.360,,3.07e-15,1.53e-15,-0.463,0.272,,4.29e-15,9.1e-16,-1.073,0.088
Sz90,,,7.6e-14,7.1e-15,-1.367,0.218,,8.13e-14,1.21e-14,-1.690,0.413,,5.38e-14,6.1e-15,-1.021,0.198,,3.82e-14,4e-15,-0.645,0.103
Sz95,,,3.81e-15,5.8e-16,-0.605,0.212,,3.24e-15,7.1e-16,-0.591,0.278,,2.4e-15,5.4e-16,-0.416,0.192,,2.23e-15,4.2e-16,-0.358,0.109
Sz96,,,2.56e-14,4.4e-15,-1.015,0.455,,2.02e-14,2.7e-15,-0.946,0.287,,1.59e-14,3.1e-15,-0.722,0.372,,1.64e-14,3.5e-15,-0.742,0.337
2MASS J16081497-3857145,,,1.18e-15,1.2e-16,-3.388,0.260,,9.17e-16,1.86e-16,-2.213,0.212,,8.52e-16,1.87e-16,-2.381,0.243,,6.61e-16,1.75e-16,-1.575,0.253
