Object,n_Object,l_FH8,FH8,e_FH8,EWH8,e_EWH8,l_FH9,FH9,e_FH9,EWH9,e_EWH9,l_FH10,FH10,e_FH10,EWH10,e_EWH10,l_FH11,FH11,e_FH11,EWH11,e_EWH11
Sz98,,,3.62e-13,3e-14,-0.856,0.107,,3.1e-13,4.2e-14,-0.821,0.160,,2.06e-13,3.7e-14,-0.509,0.131,,1.52e-13,1.3e-14,-0.355,0.042
Lup607,,<,2.4e-17,,,,<,2e-17,,,,,,,,,,,,,
Sz102,,,3.37e-14,1.5e-15,-2.888,0.455,,1.84e-14,1.5e-15,-1.726,0.299,,1.24e-14,1e-15,-1.183,0.224,,9.73e-15,7.3e-16,-0.880,0.130
SSTc2dJ160830.7-382827,,,,,,,,,,,,,,,,,,,,,
SSTc2dJ160836.2-392302,,,1.05e-13,1.4e-14,-0.622,0.166,,8e-14,1e-14,-0.583,0.142,,5.38e-14,1.21e-14,-0.309,0.117,,5.65e-14,1.33e-14,-0.311,0.117
Sz108B,,,3.96e-15,4.4e-16,-2.758,1.379,,3.45e-15,5.3e-16,-3.076,1.538,,3.18e-15,6.8e-16,-2.933,1.170,,2.84e-15,4.9e-16,-3.117,1.280
2MASS J16085324-3914401,,,4.19e-15,1.83e-15,-0.766,0.376,<,6.02e-15,,,,<,6.05e-15,,,,<,5.4e-15,,,
2MASS J16085373-3914367,+,,,,,,,,,,,,,,,,,,,,
2MASS J16085529-3848481,,,3.65e-16,3.4e-17,-3.980,0.570,,2.4e-16,4.2e-17,-4.878,1.600,,1.89e-16,4e-17,-2.436,1.218,,1.49e-16,4.7e-17,-2.709,1.230
SSTc2dJ160927.0-383628,,,1.26e-13,6e-15,-3.683,0.612,,1.14e-13,5e-15,-3.472,0.531,,8.95e-14,6e-15,-2.513,0.512,,7.74e-14,4.5e-15,-2.310,0.358
Sz117,,,2.45e-14,2e-15,-2.006,0.323,,2.12e-14,2.4e-15,-1.963,0.435,,1.56e-14,2.2e-15,-1.260,0.326,,1.13e-14,1.4e-15,-0.864,0.158
Sz118,,,1.09e-13,6e-15,-1.664,0.263,,9.74e-14,6.2e-15,-1.656,0.278,,8.18e-14,7.5e-15,-1.398,0.302,,6.93e-14,5.4e-15,-1.151,0.169
2MASS J16100133-3906449,,,3.49e-16,1.59e-16,-2.386,1.260,<,1.12e-15,,,,<,6.25e-16,,,,<,7.16e-16,,,
SSTc2dJ161018.6-383613,,,9.84e-16,1.69e-16,-2.060,1.030,,8.64e-16,1.71e-16,-1.894,1.050,,6.01e-16,1.58e-16,-1.207,0.603,,5.22e-16,1.92e-16,-1.120,0.560
SSTc2dJ161019.8-383607,,,1.43e-16,6.4e-17,-2.008,1.100,,8.66e-17,5.76e-17,-0.528,0.264,<,2.04e-16,,,,<,1.5e-16,,,
SSTc2dJ161029.6-392215,,,1.33e-15,3.3e-16,-0.905,0.470,,8.7e-16,3.85e-16,-0.713,0.356,,5.15e-16,1.74e-16,-0.321,0.161,,5.83e-16,3.05e-16,-0.451,0.225
SSTc2dJ161243.8-381503,,,3.43e-14,3.3e-15,-1.337,0.309,,3.14e-14,3.8e-15,-1.573,0.399,,2.05e-14,1.7e-15,-0.845,0.150,,1.99e-14,1.7e-15,-0.847,0.141
SSTc2dJ161344.1-373646,,,1.91e-14,1.4e-15,-4.303,1.060,,1.68e-14,1.6e-15,-4.228,1.290,,1.15e-14,1.2e-15,-2.463,0.631,,8.14e-15,9.3e-16,-1.619,0.413
Sz75/GQ Lup,,,4.79e-13,2.7e-14,-0.791,0.079,,4.73e-13,5.3e-14,-0.794,0.138,,3.68e-13,8.7e-14,-0.592,0.204,,3e-13,3.2e-14,-0.475,0.080
Sz76,,,7.9e-15,6.2e-16,-1.112,0.238,,6.49e-15,1.01e-15,-1.080,0.342,,4.51e-15,6.3e-16,-0.745,0.238,,3.94e-15,4.6e-16,-0.708,0.169
Sz77,,,5.05e-14,1.25e-14,-0.762,0.357,,4.34e-14,6.1e-15,-0.763,0.189,,2.92e-14,1.06e-14,-0.435,0.218,,3.6e-14,9e-15,-0.568,0.251
RXJ1556.1-3655,,,3.68e-13,2.3e-14,-1.537,0.175,,2.83e-13,2.2e-14,-1.253,0.166,,2.17e-13,1.4e-14,-0.985,0.094,,1.52e-13,1e-14,-0.676,0.068
Sz82/IM Lup,,,1.46e-13,1.3e-14,-0.419,0.081,,1.67e-13,1.1e-14,-0.564,0.071,,1.53e-13,1.9e-14,-0.494,0.113,,1.25e-13,1.8e-14,-0.292,0.031
EX Lup,,,4.57e-13,3.1e-14,-1.574,0.205,,3.46e-13,3.5e-14,-1.032,0.208,,2.87e-13,3.2e-14,-0.938,0.166,,1.93e-13,2.1e-14,-0.591,0.094
