sp,Name,OName,n,RAJ2000,DEJ2000,ObsDate,MJD,TexpUVB,TexpVIS,TexpNIR,S_NUVB,S_NVIS,S_NNIR,Lup,SimbadName,SpT,Teff,AV,Dist,L_,e_L_,R_,e_R_,M_,E_M_,e_M_,l_Age,Age,Note,Temp,BJobs,BJi,logLacc,Veil,logdMacc,L_Lacc,WHa,Bmag,e_Bmag,Vmag,u_Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag,Zmag,e_Zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,l_F3.4,F3.4,e_F3.4,l_F3.6,F3.6,e_F3.6,l_F4.5,F4.5,e_F4.5,l_F4.6,F4.6,e_F4.6,l_F5.8,F5.8,e_F5.8,l_F8.0,F8.0,u_F8.0,e_F8.0,l_F12.8,F12.8,e_F12.8,l_F22.4,F22.4,e_F22.4,l_F24,F24,u_F24,e_F24,l_F70,F70,e_F70,SName,F_Ha_,e_F_Ha_,W_Ha_,e_W_Ha_,F_Hb_,e_F_Hb_,W_Hb_,e_W_Hb_,F_Hg_,e_F_Hg_,W_Hg_,e_W_Hg_,F_Hd_,e_F_Hd_,W_Hd_,e_W_Hd_,F_He_,f_F_He_,e_F_He_,W_He_,e_W_He_,F_H8_,e_F_H8_,W_H8_,e_W_H8_,F_H9_,e_F_H9_,W_H9_,e_W_H9_,l_F_H10_,F_H10_,e_F_H10_,W_H10_,e_W_H10_,l_F_H11_,F_H11_,e_F_H11_,W_H11_,e_W_H11_,l_F_H12_,F_H12_,e_F_H12_,W_H12_,e_W_H12_,l_F_H13_,F_H13_,e_F_H13_,W_H13_,e_W_H13_,l_F_H14_,F_H14_,e_F_H14_,W_H14_,e_W_H14_,l_F_H15_,F_H15_,e_F_H15_,W_H15_,e_W_H15_,l_F_Pab_,F_Pab_,e_F_Pab_,W_Pab_,e_W_Pab_,l_F_Pag_,F_Pag_,e_F_Pag_,W_Pag_,e_W_Pag_,l_F_Pad_,F_Pad_,e_F_Pad_,W_Pad_,e_W_Pad_,l_F_Pa8_,F_Pa8_,e_F_Pa8_,W_Pa8_,e_W_Pa8_,l_F_Pa9_,F_Pa9_,e_F_Pa9_,W_Pa9_,e_W_Pa9_,l_F_Pa10_,F_Pa10_,e_F_Pa10_,W_Pa10_,e_W_Pa10_,l_F_Brg_,F_Brg_,e_F_Brg_,W_Brg_,e_W_Brg_,l_F_Br8_,F_Br8_,e_F_Br8_,W_Br8_,e_W_Br8_,l_F_HeI_1,F_HeI_1,e_F_HeI_1,W_HeI_1,e_W_HeI_1,l_F_HeI_2,F_HeI_2,e_F_HeI_2,W_HeI_2,e_W_HeI_2,l_F_HeI_3,F_HeI_3,e_F_HeI_3,W_HeI_3,e_W_HeI_3,l_F_HeI_4,F_HeI_4,e_F_HeI_4,W_HeI_4,e_W_HeI_4,F_HeI_5,e_F_HeI_5,W_HeI_5,e_W_HeI_5,l_F_HeI_6,F_HeI_6,e_F_HeI_6,W_HeI_6,e_W_HeI_6,l_F_HeI_7,F_HeI_7,e_F_HeI_7,W_HeI_7,e_W_HeI_7,l_F_HeI_8,F_HeI_8,e_F_HeI_8,W_HeI_8,e_W_HeI_8,l_F_HeI_9,F_HeI_9,e_F_HeI_9,W_HeI_9,e_W_HeI_9,l_F_HeII_,F_HeII_,e_F_HeII_,W_HeII_,e_W_HeII_,f_F_CaII_5,l_F_CaII_1,F_CaII_1,e_F_CaII_1,W_CaII_1,e_W_CaII_1,l_F_CaII_2,F_CaII_2,e_F_CaII_2,W_CaII_2,e_W_CaII_2,l_F_CaII_3,F_CaII_3,e_F_CaII_3,W_CaII_3,e_W_CaII_3,l_F_CaII_4,F_CaII_4,e_F_CaII_4,W_CaII_4,e_W_CaII_4,l_F_CaII_5,F_CaII_5,e_F_CaII_5,W_CaII_5,e_W_CaII_5,F_NaI_1,e_F_NaI_1,W_NaI_1,e_W_NaI_1,F_NaI_2,e_F_NaI_2,W_NaI_2,e_W_NaI_2
sp,Sz88A (SW),HO Lup (SW),,16 07 00.54,-39 02 19.3,2012-04-18,56035.3342,2x300,2x250,2x100,60,110,50,1,Sz88,M0,3850,0.25,200,0.488,0.225,1.61,0.37,0.85,0.10,0.10,,4,,TWA25,2.08,3.03,-1.2,0.32,-8.31,0.18,597,13.67,0.01,13.02,,0.01,13.06,0.01,11.91,0.01,11.21,0.01,10.20,0.03,9.36,0.03,8.76,0.02,<,292.90,,,,,,,,<,264.99,,,,,,,,,<,300.85,,<,363.99,,,,,,,,,Sz88A (SW),2e-12,3e-14,-10.677,0.394,6.8e-13,8e-15,-5.878,0.197,3.2e-13,5e-15,-3.198,0.116,2.2e-13,2e-15,-2.426,0.058,1.5e-13,+,1.9e-14,-1.613,0.296,1.5e-13,5e-15,-1.561,0.109,1.2e-13,7e-15,-1.627,0.187,,1.1e-13,2e-15,-1.231,0.043,,8.7e-14,1.9e-15,-0.942,0.042,,8e-14,1.6e-15,-0.897,0.042,,7.8e-14,2e-15,-0.846,0.042,,6.7e-14,9e-16,-0.750,0.019,,5.5e-14,2.1e-15,-0.516,0.037,,3.7e-13,1.3e-14,-1.759,0.113,,2.7e-13,1.3e-14,-1.215,0.095,,2e-13,8e-15,-0.914,0.053,,1.6e-13,9e-15,-0.628,0.054,,1.5e-13,8e-15,-0.542,0.043,,1.3e-13,8e-15,-0.444,0.046,,9.1e-14,6.6e-15,-0.815,0.072,,9.8e-14,1e-14,-0.708,0.098,,1.6e-14,4e-16,-0.191,0.006,,3e-14,1.6e-15,-0.285,0.019,,4e-15,8.5e-16,-0.034,0.008,,4.5e-14,3.3e-15,-0.391,0.044,9.7e-14,5e-15,-0.653,0.047,,2.9e-14,1.2e-15,-0.169,0.008,,3.1e-14,2.3e-15,-0.160,0.014,,4.9e-13,1.2e-14,-2.225,0.117,,3.6e-14,2.2e-15,-0.290,0.025,,6.5e-15,7.4e-16,-0.055,0.007,+,,3.2e-13,5e-15,-3.649,0.329,,2.5e-13,1e-14,-2.645,0.094,,2.9e-13,5e-15,-1.233,0.040,,3.6e-13,5e-15,-1.614,0.041,,3.1e-13,6e-15,-1.358,0.041,9.3e-14,2.4e-15,-0.584,0.031,6.6e-14,1.9e-15,-0.414,0.022
sp,Sz88B (NE),HO Lup (NE),,16 07 00.62,-39 02 18.1,2012-04-18,56035.3342,2x300,2x250,2x100,18,75,48,3,Sz88,M4.5,3197,0.00,200,0.118,0.054,1.12,0.26,0.20,0.05,0.03,,2,,SO797,0.87,3.34,-3.1,0.04,-9.74,0.18,405,17.17,0.01,15.72,,0.01,15.32,0.01,13.33,0.01,12.57,0.01,11.53,0.03,10.87,0.03,10.51,0.02,<,292.90,,,,,,,,<,264.99,,,,,,,,,<,300.85,,<,363.99,,,,,,,,,Sz88B (NE),4.8e-14,1.7e-15,-2.316,0.190,6.9e-15,4.5e-16,-1.383,0.188,2.9e-15,2.4e-16,-0.927,0.170,1.9e-15,2.5e-16,-0.752,0.206,1.8e-15,,3.7e-16,-1.145,0.381,1.3e-15,1.3e-16,-0.812,0.174,1.2e-15,2.5e-16,-1.021,0.304,,9.1e-16,1.1e-16,-0.592,0.131,,7.8e-16,1.3e-16,-0.524,0.167,,7.2e-16,1.2e-16,-0.598,0.177,,6.8e-16,8.4e-17,-0.419,0.102,,6.6e-16,7.8e-17,-0.520,0.098,,6.2e-16,2.3e-17,-0.481,0.030,,4.2e-15,1.2e-15,-0.069,0.021,,1.4e-15,1.3e-15,-0.070,0.021,,3.3e-15,1.9e-15,-0.132,0.047,,3e-15,1e-15,-0.091,0.016,,1e-15,4.5e-16,-0.020,0.006,,9.4e-16,6.7e-16,-0.044,0.011,<,7e-16,,,,,,,,,,1.8e-16,4.4e-17,-0.077,0.022,,2.3e-16,5e-17,-0.055,0.014,,1e-16,3.3e-17,-0.020,0.007,,6e-16,1.9e-16,-0.127,0.044,8.8e-16,2.1e-16,-0.098,0.029,,3.1e-16,1.2e-17,-0.020,0.008,,7.4e-16,3.1e-16,-0.033,0.014,,9e-15,1.8e-15,-0.131,0.030,,2e-16,7.2e-17,-0.028,0.011,,,,,,,,3.4e-15,2e-16,-2.174,0.563,,2.6e-15,1.7e-16,-1.362,0.180,<,2.6e-15,,,,<,1.5e-15,,,,<,8.7e-16,,,,1.7e-15,4e-17,-0.161,0.041,1e-15,7e-17,-0.100,0.029
sp,Sz91,,,16 07 11.61,-39 03 47.1,2012-04-18,56035.3213,2x300,2x250,2x300,40,70,35,3,Sz91,M1,3705,1.20,200,0.311,0.143,1.36,0.31,0.62,0.13,0.08,,4,,TWA13A,1.12,2.14,-1.8,0.12,-8.85,0.22,374,16.25,0.05,14.58,,0.05,14.38,0.01,12.92,0.01,12.25,0.01,11.06,0.02,10.12,0.02,9.85,0.02,,41.37,0.80,,38.60,1.93,,24.70,1.93,,25.64,0.47,,17.20,0.83,,10.90,,0.52,,6.89,0.19,,13.02,1.00,,9.72,,0.98,,502.0,53.2,Sz91,1.7e-12,2e-14,-15.044,1.050,1.6e-13,4e-15,-3.299,0.209,8.9e-14,3.3e-15,-2.743,0.205,6.6e-14,6.2e-15,-2.596,0.403,4.7e-14,,5e-15,-1.890,0.349,4.3e-14,3e-15,-1.945,0.247,3.4e-14,2e-15,-1.654,0.162,,2.5e-14,1e-15,-1.192,0.074,,2.3e-14,7e-16,-0.791,0.054,,1.8e-14,3e-15,-1.341,0.345,,1.6e-14,1.6e-15,-0.836,0.135,,1.3e-14,7e-16,-0.734,0.070,,1.1e-14,7e-16,-0.636,0.076,,8.6e-14,5.5e-15,-0.653,0.061,,5e-14,8.2e-15,-0.377,0.068,,3.3e-14,4.5e-15,-0.238,0.037,,1.8e-14,1.6e-15,-0.090,0.010,,1.5e-14,2.2e-15,-0.089,0.014,,1.2e-14,1.6e-15,-0.058,0.011,,2e-14,4.2e-15,-0.393,0.092,,1.6e-14,3e-15,-0.255,0.055,,4.4e-15,3.9e-16,-0.181,0.022,,7.8e-15,6e-16,-0.198,0.021,,1.5e-15,2.2e-16,-0.032,0.005,,2.9e-15,1.5e-16,-0.070,0.005,1.2e-14,6e-16,-0.151,0.011,,4.4e-15,3.5e-16,-0.047,0.005,,3.8e-15,2e-16,-0.035,0.002,,7.3e-14,5.2e-15,-0.511,0.054,,3.6e-15,3.6e-16,-0.068,0.008,,3.7e-15,2e-16,-0.077,0.005,,,2e-14,9e-16,-0.943,0.084,,2.8e-14,1.1e-15,-1.131,0.067,,1.2e-14,4e-16,-0.089,0.004,,1.5e-14,3e-16,-0.132,0.004,,1.3e-14,2e-16,-0.105,0.002,1.2e-14,1e-16,-0.158,0.034,8.6e-15,6e-16,-0.109,0.025
sp,Lup713,,+,16 07 37.72,-39 21 38.8,2010-04-06,55292.1950,2x900,2x900,2x900,8,50,45,3,[LEM2005] Lup713,M5.5,3057,0.00,200,0.020,0.009,0.52,0.12,0.08,0.05,0.00,,4,1,Par-Lup3-2,3.50,6.50,-3.5,0.12,-10.08,0.54,378,18.38,0.05,,,,17.77,0.02,15.68,0.02,14.06,0.01,13.24,0.03,12.57,0.03,12.13,0.03,,6.72,0.15,,6.96,0.46,,6.12,0.46,,6.12,0.13,,5.65,0.31,,6.69,,0.33,,5.62,0.26,,5.36,1.16,,6.39,,0.64,<,50.0,,Lup713,5.4e-14,2e-16,-25.377,0.940,1e-14,1e-16,-14.752,1.390,5.2e-15,1.4e-16,-12.065,2.200,3.9e-15,2.3e-16,-10.208,4.020,3.4e-15,+,5.5e-16,-9.043,0.762,2.5e-15,5e-17,-4.776,0.552,2.1e-15,1.4e-16,-4.031,1.350,,1.7e-15,4e-17,-3.485,0.348,,1.5e-15,7e-17,-3.407,0.489,,1.2e-15,7e-17,-2.438,0.450,,9.6e-16,6.2e-17,-1.754,0.334,,7.6e-16,2.1e-17,-1.236,0.093,,5.1e-16,5.9e-17,-0.736,0.181,,4.9e-15,4.6e-16,-0.281,0.032,,3.6e-15,5.6e-16,-0.212,0.037,,2.8e-15,2.4e-16,-0.207,0.020,<,2e-15,,,,,1.5e-15,1.7e-16,-0.138,0.019,,1.1e-15,2.3e-16,-0.113,0.026,,7.9e-16,1.9e-16,-0.116,0.031,<,7.8e-16,,,,,1.6e-16,2.4e-17,-0.404,0.103,,2.9e-16,1.2e-17,-0.513,0.068,,3e-17,6.2e-18,-0.053,0.014,,1.1e-16,7e-18,-0.200,0.028,1.1e-15,4e-17,-1.260,0.164,,5.2e-16,2.6e-17,-0.399,0.035,,2.8e-16,2e-17,-0.140,0.013,,3e-15,7.4e-16,-0.180,0.053,,4.2e-16,4e-17,-0.584,0.105,,4.6e-17,6.4e-18,-0.098,0.020,+,,4.6e-15,3e-17,-7.676,0.967,,3.3e-15,4e-17,-4.621,0.638,,3.5e-15,8e-17,-0.611,0.024,,5.1e-15,4e-17,-0.869,0.013,,4.5e-15,1e-16,-0.604,0.021,1.3e-15,7e-17,-1.280,0.060,8.1e-16,8.3e-17,-0.803,0.058
sp,Lup604s,,,16 08 00.20,-39 02 59.7,2010-04-06,55292.2374,2x450,2x450,2x450,5,60,40,3,[LEM2005] Lup604s,M5.5,3057,0.00,200,0.057,0.026,0.83,0.19,0.11,0.04,0.02,,2,,SO925,0.50,8.50,-3.7,0.05,-10.21,0.13,264,16.94,0.05,17.01,,0.05,16.51,0.01,14.31,0.01,13.34,0.01,12.15,0.03,11.45,0.03,11.07,0.02,,16.49,0.35,,16.30,0.90,,15.10,0.90,,13.72,0.25,,12.80,0.64,,14.40,,0.69,,14.02,0.30,,21.22,1.15,,16.60,,1.57,<,50.0,,Lup604s,1.1e-14,5e-16,-1.691,0.223,1.6e-15,7e-17,-1.191,0.177,8.5e-16,7.8e-17,-1.118,0.289,6.1e-16,7.3e-17,-0.968,0.390,5.5e-16,,6.1e-17,-1.769,0.718,4.3e-16,6.5e-17,-1.275,0.703,2.9e-16,4.9e-17,-0.571,0.269,,1.8e-16,3.8e-17,-0.414,0.205,,1.5e-16,1.7e-17,-0.370,0.108,,1.1e-16,1.3e-17,-0.312,0.089,,8.9e-17,2e-17,-0.332,0.186,<,7.8e-17,,,,<,6.6e-17,,,,<,4.2e-15,,,,,2.2e-15,8.7e-16,-0.040,0.016,<,1.6e-15,,,,<,1.2e-15,,,,<,9e-16,,,,<,6.1e-16,,,,<,1.8e-16,,,,<,3.6e-15,,,,<,3.9e-17,,,,<,2.5e-17,,,,,,,,,<,1.3e-17,,,,2.2e-16,4.3e-17,-0.117,0.031,,7e-17,1.3e-17,-0.015,0.003,,7e-17,2.1e-17,-0.010,0.003,,,,,,,6.9e-17,1.9e-17,-0.031,0.010,<,1.6e-17,,,,,,8.2e-16,2.5e-17,-1.535,0.344,,6.8e-16,2e-17,-0.951,0.143,,,,,,,,,,,,,,,,7.4e-17,1.1e-17,-0.030,0.014,3.9e-17,6.2e-18,-0.016,0.019
sp,Sz97,,,16 08 21.79,-39 04 21.5,2011-04-23,55674.1139,2x300,2x300,2x300,15,120,55,3,Sz97,M4.0,3270,0.00,200,0.169,0.078,1.34,0.28,0.25,0.05,0.00,,2,,Sz94,1.00,3.70,-2.9,0.03,-9.56,0.38,452,16.18,0.05,14.61,,0.05,14.77,0.01,12.92,0.01,12.24,0.01,11.24,0.02,10.55,0.02,10.22,0.02,,33.17,0.70,,27.90,1.73,,25.20,1.73,,26.82,0.49,,23.70,1.14,,25.70,,1.23,,24.01,0.55,,39.51,2.26,,31.20,,2.97,,88.6,16.9,Sz97,1.4e-13,3e-15,-4.112,0.261,3e-14,7e-16,-2.492,0.143,2.1e-14,9e-16,-2.814,0.350,1.7e-14,8e-16,-2.522,0.373,1.5e-14,,4e-16,-2.188,0.429,1.3e-14,6e-16,-2.626,0.428,1.1e-14,6e-16,-2.500,0.400,,9.2e-15,9.4e-16,-2.237,0.581,,6.8e-15,5.9e-16,-1.615,0.345,,5.3e-15,8.1e-16,-1.325,0.463,,4.2e-15,6.3e-16,-1.044,0.345,,3.6e-15,1.9e-16,-0.767,0.099,,2.7e-15,2.3e-16,-0.697,0.128,,5.6e-15,1.3e-15,-0.038,0.014,,6e-15,2e-15,-0.074,0.021,,7.2e-15,5e-16,-0.078,0.006,,5.9e-15,5.9e-16,-0.060,0.006,,3.8e-15,4.1e-16,-0.039,0.004,,1.1e-15,4.2e-16,-0.011,0.004,<,1.3e-15,,,,<,2.1e-15,,,,,1e-15,1.4e-16,-0.154,0.032,,2e-15,2e-16,-0.212,0.032,<,2.2e-16,,,,,9.3e-16,7.2e-17,-0.093,0.008,3.9e-15,1e-16,-0.240,0.011,,1.8e-15,1.6e-16,-0.071,0.007,,1.1e-15,9e-17,-0.032,0.003,,3.3e-15,6.5e-16,-0.032,0.007,,1.1e-15,1.5e-16,-0.066,0.011,,6.8e-16,6e-17,-0.061,0.006,,,1.2e-14,4e-16,-2.239,0.392,,1.3e-14,1.1e-15,-2.087,0.301,,4.4e-15,1.3e-16,-0.062,0.002,,4.8e-15,4e-17,-0.071,0.001,,3.9e-15,1e-16,-0.053,0.001,1.5e-15,7e-17,-0.086,0.018,7.2e-16,5.1e-17,-0.042,0.012
sp,Sz99,,,16 08 24.04,-39 05 49.4,2010-04-07,55293.3452,2x300,2x300,2x300,14,60,35,3,Sz99,M4.0,3270,0.00,200,0.074,0.034,0.89,0.20,0.17,0.08,0.00,,3,,TWA9B,1.90,2.65,-2.6,0.26,-9.27,0.19,373,15.49,0.05,16.00,,0.05,15.74,0.01,14.17,0.01,13.28,0.01,11.93,0.02,11.21,0.02,10.75,0.02,,25.70,0.54,,23.80,1.39,,22.90,1.39,,22.22,0.41,,20.10,1.01,,21.10,,1.00,,24.41,0.52,,30.33,1.65,,26.20,,2.45,<,50.0,,Sz99,1.4e-13,1e-15,-12.385,0.478,3.2e-14,8e-16,-6.106,0.449,2.5e-14,1e-15,-5.860,0.654,2.2e-14,8e-16,-5.942,0.649,2e-14,,3.2e-15,-5.153,0.261,1.5e-14,1e-15,-3.791,0.674,1.2e-14,1.1e-15,-3.132,0.695,,9.5e-15,1.6e-15,-2.591,0.944,,6.6e-15,3.3e-16,-1.644,0.145,,4.5e-15,3.1e-16,-1.011,0.111,,3.4e-15,2.6e-16,-0.684,0.089,,1.7e-15,1.8e-16,-0.330,0.042,,1.3e-15,9e-17,-0.232,0.023,,7.9e-15,1.2e-15,-0.167,0.030,,6.5e-15,1.1e-15,-0.158,0.031,,4.4e-15,2.9e-16,-0.134,0.010,<,2.8e-15,,,,,2.3e-15,6.5e-16,-0.078,0.023,,1.3e-15,2.7e-16,-0.047,0.010,,1.7e-15,2.3e-16,-0.082,0.012,<,2.2e-15,,,,,8.9e-16,1.1e-16,-0.251,0.045,,1.7e-15,1.1e-16,-0.407,0.052,,1.9e-16,2.1e-17,-0.042,0.006,,5.5e-16,1.2e-17,-0.115,0.003,4.3e-15,1e-16,-0.737,0.040,,2e-15,9e-17,-0.257,0.017,,1.1e-15,2e-17,-0.109,0.002,,6.2e-15,8.4e-16,-0.150,0.023,,1.2e-15,1.8e-16,-0.233,0.047,,4.1e-16,2.1e-17,-0.093,0.007,,,5.8e-15,3e-16,-1.633,0.277,,6.5e-15,3.4e-16,-1.373,0.196,,2.7e-15,2e-17,-0.125,0.001,,3.7e-15,4e-17,-0.169,0.002,,3.1e-15,7e-17,-0.125,0.003,2.3e-15,2.7e-16,-0.374,0.034,1.5e-15,1.7e-16,-0.240,0.027
sp,Sz100,,+,16 08 25.76,-39 06 01.1,2011-04-23,55674.1391,2x300,2x300,2x300,10,50,55,3,Sz100,M5.5,3057,0.00,200,0.169,0.078,1.43,0.33,0.17,0.00,0.04,,1,,SO641,0.87,2.16,-3.0,0.09,-9.47,0.31,251,16.62,0.05,15.43,,0.05,15.22,0.01,13.12,0.01,12.18,0.01,10.98,0.02,10.35,0.02,9.91,0.02,,59.58,1.32,,53.10,3.21,,50.40,3.21,,51.86,1.00,,48.70,2.48,,61.70,,3.04,,67.98,1.13,,140.44,3.62,,130.00,,12.10,,223.0,28.5,Sz100,9.8e-14,1.4e-15,-4.725,0.278,2.3e-14,6e-16,-3.738,0.366,1.6e-14,6e-16,-4.469,0.609,1.2e-14,7e-16,-3.471,0.875,8.6e-15,,2e-16,-2.381,0.340,7.5e-15,5e-16,-3.067,0.877,5.1e-15,5e-16,-1.669,0.594,,4.2e-15,1.5e-16,-1.731,0.202,,2.9e-15,4.5e-16,-1.182,0.523,,2e-15,2.4e-16,-0.774,0.245,,1.8e-15,1.8e-16,-1.066,0.293,,1.2e-15,2e-16,-0.680,0.051,,8.5e-16,2.2e-16,-0.316,0.154,,3.9e-15,1.8e-15,-0.031,0.014,,4.6e-15,1.6e-15,-0.036,0.013,<,2.9e-15,,,,<,2.9e-15,,,,<,2.2e-15,,,,,2.3e-15,4.6e-16,-0.022,0.005,<,1.7e-15,,,,<,1e-14,,,,,7e-16,1.4e-16,-0.196,0.063,,1.1e-15,1.1e-16,-0.233,0.043,<,6.6e-17,,,,,4.6e-16,2.1e-17,-0.089,0.005,3.3e-15,1.5e-16,-0.442,0.043,,1.3e-15,1.5e-16,-0.092,0.013,,8.9e-16,8.8e-17,-0.043,0.005,,6.6e-15,1.6e-15,-0.055,0.016,,8.9e-16,1.6e-16,-0.104,0.025,,3.6e-16,4.2e-17,-0.070,0.011,,,9.3e-15,2.6e-16,-2.754,0.631,,9.5e-15,5e-17,-2.206,0.385,,4.2e-15,1.6e-16,-0.067,0.003,,5.3e-15,1.2e-16,-0.084,0.002,,3.4e-15,8e-17,-0.045,0.001,7.8e-16,6.5e-17,-0.092,0.020,5.1e-16,4.4e-17,-0.060,0.018
sp,Sz103,,,16 08 30.26,-39 06 11.1,2011-04-23,55674.1542,2x300,2x300,2x300,15,80,50,3,Sz103,M4.0,3270,0.70,200,0.188,0.087,1.41,0.30,0.25,0.05,0.00,,1,,Sz94,0.74,1.87,-2.4,0.14,-9.04,0.09,426,,,11.14,,0.05,15.18,0.01,13.15,0.01,12.40,0.01,11.38,0.02,10.62,0.02,10.23,0.02,,40.28,0.93,,32.10,1.97,,28.10,1.97,,33.89,0.69,,30.00,1.81,,33.80,,1.77,,39.77,1.21,,151.04,4.31,,81.20,,7.66,,317.0,40.0,Sz103,1e-13,4e-15,-3.228,0.302,2e-14,7e-16,-1.838,0.139,1.4e-14,7e-16,-1.625,0.207,1.2e-14,6e-16,-1.771,0.221,1e-14,,9e-16,-1.907,0.359,9.7e-15,7e-16,-2.539,0.607,8.5e-15,8.7e-16,-2.265,0.690,,6.3e-15,5.5e-16,-1.485,0.302,,5e-15,1.8e-16,-1.230,0.119,,3.7e-15,6e-17,-1.000,0.032,,2.9e-15,9e-17,-0.836,0.057,,1.9e-15,1.6e-16,-0.569,0.094,,1.8e-15,2.8e-16,-0.640,0.132,,4e-15,9.7e-16,-0.048,0.012,,5.6e-15,1.2e-15,-0.061,0.014,,4.6e-15,5e-16,-0.028,0.003,,5.1e-15,9e-16,-0.054,0.010,,4.2e-15,5e-16,-0.045,0.006,,2.4e-15,1.1e-16,-0.027,0.001,<,9e-16,,,,<,1.7e-15,,,,,7.9e-16,1.4e-16,-0.118,0.028,,1.1e-15,7e-17,-0.110,0.010,<,3.6e-17,,,,,7e-16,1e-17,-0.076,0.002,2.5e-15,1.7e-16,-0.169,0.018,,1.5e-15,1.6e-16,-0.065,0.008,,7.3e-16,4.6e-17,-0.022,0.002,,4.9e-15,6.9e-16,-0.054,0.008,,9.8e-16,2.2e-16,-0.062,0.016,,5.5e-16,1.2e-16,-0.053,0.014,,,1.3e-14,5e-16,-3.032,0.836,,1.3e-14,2e-16,-2.480,0.210,,3.6e-15,1e-16,-0.055,0.002,,3.8e-15,1e-16,-0.060,0.002,,3.2e-15,4e-17,-0.046,0.001,4.9e-16,1e-16,-0.031,0.012,2.6e-16,1.3e-16,-0.016,0.010
sp,Sz104,,,16 08 30.81,-39 05 48.8,2010-04-06,55292.2549,2x300,2x300,2x300,10,70,50,3,Sz104,M5.0,3125,0.00,200,0.102,0.047,1.11,0.26,0.15,0.02,0.02,,1,,SO641,0.65,1.90,-3.2,0.06,-9.72,0.23,201,,,15.25,,0.05,15.64,0.01,13.57,0.01,12.78,0.01,11.66,0.02,11.00,0.02,10.65,0.02,,,,,25.50,1.47,,22.50,1.47,,,,,20.00,1.01,,21.30,,1.10,,,,,,,,47.90,,4.62,,441.0,53.2,Sz104,4.9e-14,1.2e-15,-3.444,0.315,1e-14,2e-16,-2.905,0.252,6.4e-15,2.4e-16,-2.794,0.396,4.9e-15,2.9e-16,-2.605,0.549,3.2e-15,,1.3e-16,-2.113,0.423,3e-15,1.2e-16,-2.424,0.386,2e-15,2.3e-16,-1.678,0.912,,1.7e-15,1.4e-16,-1.600,0.458,,1.3e-15,8e-17,-1.692,0.396,,1.2e-15,7e-17,-2.736,0.729,,6e-16,4.6e-17,-0.725,0.202,,5.1e-16,2.6e-17,-1.078,0.298,,4.6e-16,9.4e-17,-0.482,0.260,,1.5e-15,6.4e-16,-0.017,0.008,,4.5e-15,1.8e-15,-0.064,0.021,<,2.2e-15,,,,<,1.5e-15,,,,<,1.2e-15,,,,,3.7e-16,6.6e-17,-0.006,0.001,<,5.2e-16,,,,<,7.1e-15,,,,,2e-16,3e-17,-0.105,0.022,,3.7e-16,5.7e-17,-0.136,0.029,<,2e-17,,,,,7e-17,1.9e-17,-0.020,0.007,1.2e-15,1.1e-16,-0.244,0.043,,4.5e-16,5.7e-17,-0.044,0.007,,3.2e-16,6.3e-17,-0.022,0.005,,1.2e-14,2e-15,-0.137,0.031,,1.3e-16,6e-17,-0.022,0.011,,2e-16,9e-18,-0.070,0.004,,,3e-15,5e-17,-2.578,0.491,,2.8e-15,5e-17,-1.986,0.318,,2e-15,8e-17,-0.050,0.002,,2e-15,1.4e-16,-0.051,0.004,<,1.3e-15,,,,6.5e-16,2.6e-17,-0.107,0.014,3.8e-16,6.7e-17,-0.062,0.014
