Object,n_Object,FHa,e_FHa,EWHa,e_EWHa,FHb,e_FHb,EWHb,e_EWHb,FHg,e_FHg,EWHg,e_EWHg,FHd,e_FHd,EWHd,e_EWHd,l_FHe,FHe,e_FHe,EWHe,e_EWHe
Sz108B,,1.3e-13,4e-15,-6.900,1.030,1.3e-14,1e-15,-3.368,1.050,6.97e-15,6.1e-16,-2.627,0.783,5.5e-15,7.2e-16,-2.947,1.179,,3.36e-15,4.4e-16,-2.058,0.806
2MASS J16085324-3914401,,4.87e-14,2.8e-15,-0.849,0.094,9.61e-15,1.78e-15,-0.545,0.207,5.92e-15,1.64e-15,-0.530,0.185,4.69e-15,1.68e-15,-0.622,0.279,,5.71e-15,1.94e-15,-1.616,0.430
2MASS J16085373-3914367,+,6.72e-15,1.14e-15,-5.954,1.500,,,,,,,,,,,,,,,,,
2MASS J16085529-3848481,,1.06e-14,3e-16,-5.492,0.787,1.37e-15,6e-17,-5.290,1.890,8.13e-16,5.7e-17,-7.743,1.300,5.72e-16,5.4e-17,-6.463,1.070,,5.94e-16,4.2e-17,-5.824,1.970
SSTc2dJ160927.0-383628,,3.39e-13,3e-15,-7.374,0.237,2.07e-13,9e-15,-6.055,0.694,1.73e-13,1.1e-14,-5.260,1.310,1.7e-13,1e-14,-6.347,1.210,,1.14e-13,1.4e-14,-4.196,1.390
Sz117,,1.71e-13,7e-15,-1.616,0.148,4.36e-14,4.6e-15,-1.120,0.193,3.16e-14,3.2e-15,-1.117,0.198,3.29e-14,3.8e-15,-1.824,0.394,,2.71e-14,1.7e-15,-2.035,0.442
Sz118,,5.98e-13,4.3e-14,-1.250,0.169,1.97e-13,2.2e-14,-0.723,0.139,1.55e-13,1.9e-14,-0.872,0.214,1.43e-13,1.4e-14,-1.310,0.313,,1.76e-13,9e-15,-2.824,0.504
2MASS J16100133-3906449,,2.2e-14,5e-16,-4.460,0.440,2.2e-15,2.3e-16,-3.197,0.355,1.01e-15,2e-16,-2.299,0.350,5.08e-16,1.81e-16,-1.081,0.475,,4.7e-16,1.66e-16,-2.133,1.066
SSTc2dJ161018.6-383613,,9.93e-15,8.3e-16,-1.490,0.289,2.53e-15,2.4e-16,-1.421,0.406,1.77e-15,2.1e-16,-1.821,0.638,1.39e-15,1.8e-16,-1.755,0.825,,1.25e-15,2.3e-16,-1.622,0.811
SSTc2dJ161019.8-383607,,3.77e-15,1.6e-16,-2.257,0.320,7.7e-16,9.7e-17,-2.194,0.530,3.92e-16,6.9e-17,-3.111,0.560,1.99e-16,3.7e-17,-1.301,0.520,,2.1e-16,5e-17,-1.810,1.020
SSTc2dJ161029.6-392215,,1.96e-14,1.6e-15,-0.943,0.149,4.5e-15,5.1e-16,-0.853,0.193,2.76e-15,3.5e-16,-0.797,0.215,2.15e-15,4.4e-16,-0.833,0.371,,1.12e-15,1.6e-16,-0.878,0.510
SSTc2dJ161243.8-381503,,4.7e-13,2e-14,-1.762,0.173,9.35e-14,1.23e-14,-0.817,0.186,5.4e-14,9.4e-15,-0.759,0.286,4.8e-14,7.6e-15,-1.055,0.325,,5.19e-14,7.5e-15,-1.962,0.806
SSTc2dJ161344.1-373646,,1.67e-13,3e-15,-11.732,1.170,4.03e-14,1.6e-15,-6.329,0.830,3.14e-14,1.7e-15,-6.207,1.210,2.73e-14,1.5e-15,-6.273,1.110,,2.06e-14,2.9e-15,-4.537,1.580
Sz75/GQ Lup,,9.66e-12,2.2e-13,-4.276,0.293,1.37e-12,1.2e-13,-0.919,0.152,7.48e-13,1.78e-13,-0.685,0.264,4.97e-13,1.01e-13,-0.557,0.199,,3.41e-13,1.79e-13,-0.517,0.282
Sz76,,1.56e-13,8e-15,-2.450,0.450,3.15e-14,2.4e-15,-1.298,0.212,1.62e-14,1.8e-15,-0.963,0.263,1.18e-14,1.2e-15,-1.011,0.264,,1e-14,1.2e-15,-1.416,0.544
Sz77,,4.13e-13,2.9e-14,-0.779,0.096,1e-13,2.6e-14,-0.328,0.127,6.93e-14,2.91e-14,-0.375,0.131,5.1e-14,1.79e-14,-0.383,0.160,,3.84e-14,1.13e-14,-0.482,0.238
RXJ1556.1-3655,,2.97e-12,4e-14,-8.545,0.465,8.94e-13,4.2e-14,-3.019,0.281,7.03e-13,2.5e-14,-2.719,0.192,5.65e-13,2.3e-14,-2.404,0.178,,4.54e-13,1.8e-14,-2.017,0.159
Sz82/IM Lup,,1.49e-12,2.6e-13,-0.868,0.146,7.72e-13,8.8e-14,-0.725,0.142,2.38e-13,3.7e-14,-0.256,0.061,2.16e-13,2.8e-14,-0.314,0.062,,1.79e-13,1.7e-14,-0.584,0.091
EX Lup,,1.53e-12,9e-14,-1.939,0.259,6.68e-13,5.1e-14,-1.112,0.160,6.37e-13,1.19e-13,-1.380,0.425,4.65e-13,5.7e-14,-1.137,0.268,,4.46e-13,9.2e-14,-1.416,0.424
