Sample,Object,OName,RAJ2000,DEJ2000,ObsDate,_tab1_7,TexpUVB,TexpVIS,TexpNIR,Lupus,Notes,n_Object,FHa,e_FHa,EWHa,e_EWHa,FHb,e_FHb,EWHb,e_EWHb,FHg,e_FHg,EWHg,e_EWHg,FHd,e_FHd,EWHd,e_EWHd,l_FHe,FHe,e_FHe,EWHe,e_EWHe
,RY Lup,,15 59 28.39,-40 21 51.3,2015-07-02,2457205.275027,2x100,2x50,2x100,IV,,,2.26e-12,7e-14,-0.939,0.044,3.41e-13,3.7e-14,-0.157,0.019,,,,,,,,,,,,,
,SSTc2dJ154508.9-341734,,15 45 08.88,-34 17 33.7,2015-06-15,2457188.149771,2x900,2x850,2x960,I,,,6.11e-13,1.2e-14,-20.445,3.080,9.52e-14,1.22e-14,-6.407,1.800,4.62e-14,1.24e-14,-2.477,0.867,3.08e-14,1.05e-14,-4.200,1.680,<,1.78e-14,,,
,SSTc2dJ154518.5-342125,,15 45 18.53,-34 21 24.8,2015-06-25,2457198.978850,2x900,2x850,2x960,I,,,5.42e-14,3e-16,-27.795,2.570,4.78e-15,1.6e-16,-19.431,2.750,1.9e-15,8e-17,-15.574,2.500,1.07e-15,7e-17,-7.643,3.100,,7.48e-16,1.16e-16,-6.448,3.224
,SSTc2dJ155925.2-423507,,15 59 25.24,-42 35 07.1,2015-06-27,2457200.014418,2x900,2x850,2x960,IV,,,4.28e-15,3.8e-16,-0.998,0.235,9.92e-16,8.4e-17,-1.094,0.308,6.2e-16,1.11e-16,-1.968,0.688,3.93e-16,7.1e-17,-1.224,0.490,,2.74e-16,4.4e-17,-1.377,0.688
,SSTc2dJ160000.6-422158,,16 00 00.62,-42 21 57.5,2015-04-03,2457115.345055,2x450,2x400,2x480,IV,,,1.96e-14,1.8e-15,-0.956,0.154,6.43e-15,1.11e-15,-1.086,0.363,4.16e-15,5e-16,-1.027,0.310,4.07e-15,7.5e-16,-1.433,0.620,,2.59e-15,4.8e-16,-1.032,0.483
,SSTc2dJ160002.4-422216,,16 00 02.37,-42 22 15.5,2015-07-01,2457204.165952,2x450,2x400,2x960,IV,,,1.09e-13,1e-14,-1.974,0.374,2.64e-14,6.6e-15,-1.334,0.312,2.28e-14,6e-15,-1.996,0.698,1.78e-14,3.9e-15,-1.692,0.667,,2.14e-14,3e-15,-4.727,2.410
,SSTc2dJ160026.1-415356,,16 00 26.13,-41 53 55.6,2015-06-28,2457201.007970,2x900,2x850,2x960,IV,,,2.41e-14,1.9e-15,-1.713,0.328,8.05e-15,1.08e-15,-2.176,0.710,5.97e-15,8.5e-16,-2.833,0.507,5.1e-15,8.1e-16,-2.923,1.169,,4.81e-15,1.02e-15,-3.571,1.310
,SSTc2dJ160703.9-391112,,16 07 03.84,-39 11 11.3,2016-06-02,2457542.198741,4x960,4x910,4x480,III,,,6.77e-16,6.9e-17,-1.074,0.246,1.38e-16,2.3e-17,-1.132,0.419,6.56e-17,1.18e-17,-0.667,0.233,4.36e-17,1.21e-17,-0.450,0.204,,3.7e-17,6.4e-18,-0.526,0.218
,SSTc2dJ160708.6-391408,,16 07 08.55,-39 14 07.7,,,,,,,,,5.69e-14,4.1e-15,-7.239,1.020,2.02e-14,2.5e-15,-6.130,0.700,1.57e-14,2.6e-15,-4.892,0.570,1.13e-14,1.4e-15,-1.882,0.280,,8.34e-15,1.57e-15,-2.281,1.140
,SSTc2dJ160830.7-382827,,16 08 30.70,-38 28 26.8,2015-07-02,2457205.155128,2x150,2x100,2x150,III,,,,,,,,,,,,,,,,,,,,,,,
