angDist,Sample_1,Object,OName,RAJ2000_1,DEJ2000_1,ObsDate,_tab1_7,TexpUVB,TexpVIS,TexpNIR,Lupus,Notes_1,n_Object,FHa,e_FHa,EWHa,e_EWHa,FHb,e_FHb,EWHb,e_EWHb,FHg,e_FHg,EWHg,e_EWHg,FHd,e_FHd,EWHd,e_EWHd,l_FHe,FHe,e_FHe,EWHe,e_EWHe,ra,dec,_RAJ2000,_DEJ2000,Region,CName,RAJ2000_2,DEJ2000_2,alpha,OType,FJ,FH,FKs,FIR1,FIR2,FIR3,FIR4,FMP1,FMP2,Sample_2,SpType,Teff,e_Teff,AV,Dist,logL_,e_logL_,R_,e_R_,l_M__B98_,M__B98_,e_M__B98_,l_M__B15_,M__B15_,e_M__B15_,M__DM97_,e_M__DM97_,l_M__DM97_,M__S00_,e_M__S00_,Notes_2,Template,l_logLacc,logLacc,l_logdMacc_dt_B98_,logdMacc_dt_B98_,l_logdMacc_dt_B15_,logdMacc_dt_B15_,l_logdMacc_dt_DM98_,logdMacc_dt_DM98_,l_logdMacc_dt_S00_,logdMacc_dt_S00_,Note,SimbadName
0.16856,,2MASS J16085529-3848481,,16 08 55.29,-38 48 48.1,2015-07-12,2457215.156936,2x900,2x850,2x960,III,,,1.06e-14,3e-16,-5.492,0.787,1.37e-15,6e-17,-5.29,1.89,8.13e-16,5.7e-17,-7.743,1.3,5.72e-16,5.4e-17,-6.463,1.07,,5.94e-16,4.2e-17,-5.824,1.97,242.23037499999992,-38.81336111111111,242.230331,-38.813393,LUP_III,J160855.3-384848,242.230331,-38.813393,-1.14,YSOc_star+dust(IR2),10.2,11.0,10.4,7.6,7.76,5.85,6.97,7.05,,N,M6.5,2935,68,0.00,200,0.0759,0.0414,1.07,0.29,,0.11,0.02,,0.11,0.02,0.12,0.02,,0.10,0.02,,Par-Lup3-1,,-4.1,,-10.51,,-10.51,,-10.54,,-10.46,,2MASS J16085529-3848481
0.16856,,2MASS J16085529-3848481,,16 08 55.29,-38 48 48.1,2015-07-12,2457215.156936,2x900,2x850,2x960,III,,,1.06e-14,3e-16,-5.492,0.787,1.37e-15,6e-17,-5.29,1.89,8.13e-16,5.7e-17,-7.743,1.3,5.72e-16,5.4e-17,-6.463,1.07,,5.94e-16,4.2e-17,-5.824,1.97,242.23037499999992,-38.81336111111111,242.230331,-38.813393,LUP_III,J160855.3-384848,242.230331,-38.813393,-1.14,YSOc_star+dust(IR2),10.2,11.0,10.4,7.6,7.76,5.85,6.97,7.05,,N,M6.5,2935,68,0.00,200,0.0759,0.0414,1.07,0.29,,0.11,0.02,,0.11,0.02,0.12,0.02,,0.10,0.02,,Par-Lup3-1,,-4.1,,-10.51,,-10.51,,-10.54,,-10.46,,2MASS J16085529-3848481
0.035824,,2MASS J16100133-3906449,,16 10 01.32,-39 06 44.9,2015-07-13,2457216.122794,2x900,2x850,2x960,III,,,2.2e-14,5e-16,-4.46,0.44,2.2e-15,2.3e-16,-3.197,0.355,1.01e-15,2e-16,-2.299,0.35,5.08e-16,1.81e-16,-1.081,0.475,,4.7e-16,1.66e-16,-2.133,1.066,242.5055,-39.11247222222222,242.505508,-39.11248,LUP_III,J161001.3-390645,242.505508,-39.11248,-1.24,YSOc_star+dust(IR3),21.0,36.0,41.2,27.2,24.0,21.0,18.8,24.1,,N,M6.5,2935,68,1.70,200,0.2089,0.1289,1.77,0.55,<,0.10,,,0.10,0.03,0.12,0.01,,0.14,0.03,,Par-Lup3-1,,-3.4,,-9.55,,-9.55,,-9.62,,-9.69,,2MASS J16100133-3906449
0.035824,,2MASS J16100133-3906449,,16 10 01.32,-39 06 44.9,2015-07-13,2457216.122794,2x900,2x850,2x960,III,,,2.2e-14,5e-16,-4.46,0.44,2.2e-15,2.3e-16,-3.197,0.355,1.01e-15,2e-16,-2.299,0.35,5.08e-16,1.81e-16,-1.081,0.475,,4.7e-16,1.66e-16,-2.133,1.066,242.5055,-39.11247222222222,242.505508,-39.11248,LUP_III,J161001.3-390645,242.505508,-39.11248,-1.24,YSOc_star+dust(IR3),21.0,36.0,41.2,27.2,24.0,21.0,18.8,24.1,,N,M6.5,2935,68,1.70,200,0.2089,0.1289,1.77,0.55,<,0.10,,,0.10,0.03,0.12,0.01,,0.14,0.03,,Par-Lup3-1,,-3.4,,-9.55,,-9.55,,-9.62,,-9.69,,2MASS J16100133-3906449
0.035824,,2MASS J16100133-3906449,,16 10 01.32,-39 06 44.9,2015-07-13,2457216.122794,2x900,2x850,2x960,III,,,2.2e-14,5e-16,-4.46,0.44,2.2e-15,2.3e-16,-3.197,0.355,1.01e-15,2e-16,-2.299,0.35,5.08e-16,1.81e-16,-1.081,0.475,,4.7e-16,1.66e-16,-2.133,1.066,242.5055,-39.11247222222222,242.505508,-39.11248,LUP_III,J161001.3-390645,242.505508,-39.11248,-1.24,YSOc_star+dust(IR3),21.0,36.0,41.2,27.2,24.0,21.0,18.8,24.1,,N,M6.5,2935,68,1.70,200,0.2089,0.1289,1.77,0.55,<,0.10,,,0.10,0.03,0.12,0.01,,0.14,0.03,,Par-Lup3-1,,-3.4,,-9.55,,-9.55,,-9.62,,-9.69,,2MASS J16100133-3906449
0.088118,,AKC2006-18,,15 41 40.82,-33 45 19.0,2015-04-20,2457132.269751,4x900,4x850,4x960,I,,,2.05e-15,1e-16,-4.28,0.816,6.65e-16,6e-17,-7.174,2.67,3.87e-16,3.1e-17,-4.143,1.45,3.65e-16,5.7e-17,-7.62,3.6,,2.22e-16,5.9e-17,-2.517,1.259,235.4200833333333,-33.75527777777778,235.420059,-33.755264,LUP_I,J154140.8-334519,235.420059,-33.755264,-1.4,star+dust(IR2),2.17,3.0,2.52,1.81,1.75,1.56,1.4,0.402,,N,M6.5,2935,66,0.00,150,0.0107,0.0048,0.40,0.09,,0.07,0.01,,0.07,0.01,0.08,0.02,<,0.10,,,Par-Lup3-1,,-4.6,,-11.24,,-11.24,,-11.29,,-11.24,,[AKC2006] 18
0.088118,,AKC2006-18,,15 41 40.82,-33 45 19.0,2015-04-20,2457132.269751,4x900,4x850,4x960,I,,,2.05e-15,1e-16,-4.28,0.816,6.65e-16,6e-17,-7.174,2.67,3.87e-16,3.1e-17,-4.143,1.45,3.65e-16,5.7e-17,-7.62,3.6,,2.22e-16,5.9e-17,-2.517,1.259,235.4200833333333,-33.75527777777778,235.420059,-33.755264,LUP_I,J154140.8-334519,235.420059,-33.755264,-1.4,star+dust(IR2),2.17,3.0,2.52,1.81,1.75,1.56,1.4,0.402,,N,M6.5,2935,66,0.00,150,0.0107,0.0048,0.40,0.09,,0.07,0.01,,0.07,0.01,0.08,0.02,<,0.10,,,Par-Lup3-1,,-4.6,,-11.24,,-11.24,,-11.29,,-11.24,,[AKC2006] 18
0.27514,,Lup607,,16 08 28.10,-39 13 10.0,2015-05-23,2457165.214447,4x900,4x850,4x960,III,,,9.81e-16,7.9e-17,-0.727,0.154,1.55e-16,3.3e-17,-0.787,0.28,6.79e-17,1.91e-17,-0.888,0.311,2.77e-17,1.21e-17,-0.515,0.206,,3e-17,1.34e-17,-0.522,0.261,242.1170833333333,-39.21944444444445,242.117142,-39.219383,LUP_III,J160828.1-391310,242.117142,-39.219383,-0.63,YSOc_star+dust(IR4),,,,3.4,2.91,2.53,3.56,7.15,,N,M6.5,2935,66,0.00,200,0.0708,0.0370,1.03,0.27,,0.10,0.02,,0.10,0.02,0.12,0.02,,0.10,0.01,,Par-Lup3-1,<,-4.9,<,-11.28,<,-11.28,<,-11.36,<,-11.28,a,[LEM2005] Lup607
0.27514,,Lup607,,16 08 28.10,-39 13 10.0,2015-05-23,2457165.214447,4x900,4x850,4x960,III,,,9.81e-16,7.9e-17,-0.727,0.154,1.55e-16,3.3e-17,-0.787,0.28,6.79e-17,1.91e-17,-0.888,0.311,2.77e-17,1.21e-17,-0.515,0.206,,3e-17,1.34e-17,-0.522,0.261,242.1170833333333,-39.21944444444445,242.117142,-39.219383,LUP_III,J160828.1-391310,242.117142,-39.219383,-0.63,YSOc_star+dust(IR4),,,,3.4,2.91,2.53,3.56,7.15,,N,M6.5,2935,66,0.00,200,0.0708,0.0370,1.03,0.27,,0.10,0.02,,0.10,0.02,0.12,0.02,,0.10,0.01,,Par-Lup3-1,<,-4.9,<,-11.28,<,-11.28,<,-11.36,<,-11.28,a,[LEM2005] Lup607
0.27514,,Lup607,,16 08 28.10,-39 13 10.0,2015-05-23,2457165.214447,4x900,4x850,4x960,III,,,9.81e-16,7.9e-17,-0.727,0.154,1.55e-16,3.3e-17,-0.787,0.28,6.79e-17,1.91e-17,-0.888,0.311,2.77e-17,1.21e-17,-0.515,0.206,,3e-17,1.34e-17,-0.522,0.261,242.1170833333333,-39.21944444444445,242.117142,-39.219383,LUP_III,J160828.1-391310,242.117142,-39.219383,-0.63,YSOc_star+dust(IR4),,,,3.4,2.91,2.53,3.56,7.15,,N,M6.5,2935,66,0.00,200,0.0708,0.0370,1.03,0.27,,0.10,0.02,,0.10,0.02,0.12,0.02,,0.10,0.01,,Par-Lup3-1,<,-4.9,<,-11.28,<,-11.28,<,-11.36,<,-11.28,a,[LEM2005] Lup607
